row_id,phase,parent_issue,issue_number,title,tracker_state,deferred_allowed,deferred_target,scope_verdict,docs_verdict,sdk_ffi_verdict,examples_verdict,cleanup_verdict,severity,repo_evidence,ci_evidence,next_action
I196,phase1,116,196,F01-11: Fix lint-layers tool to catch current violations,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I178,phase1,116,178,F01-07: Fix uniform location caching in OpenGL backend,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I192,phase1,116,192,F01-08: Add GL error checking to all state operations,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I193,phase1,116,193,F01-09: Fix hierarchy cascade deletion,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I194,phase1,116,194,F01-10: Resolve duplicate physics data (Collider vs RigidBody),CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I198,phase1,116,198,F01-12: Add tests for parallel system execution safety,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I214,phase1,116,214,F01-13: Remove all #[allow(dead_code)] from production code,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
P128,phase1,,128,F13: Existing SDK Fixes,CLOSED,false,,"The parent acceptance is now met: critical WASM/TS bugs are fixed, coverage/reporting is green for C#/Python/TypeScript, drift CI is enforced, web docs are updated, and the web preloader is functional.","Getting-started docs and web gotchas docs cover the shipped SDK behavior, including preload usage and current browser networking limits.","Public SDK source and scaffolding are generator-owned and regeneration is enforced by CI and clean-room checks.","Flappy Bird and Feature Lab cover the shipped SDK features across the supported languages and targets.",Closed on GitHub with current coverage evidence and child issue reconciliation.,high,.claude/specs/alpha-001-phase0-2-audit.md; docs/src/guides/web-platform-gotchas.md; sdks/typescript/test/smoke.test.mjs,"python3 sdks/python/test_bindings.py; python3 -m coverage report; DOTNET_ROOT_X64=/usr/local/share/dotnet/x64 /usr/local/share/dotnet/x64/dotnet test sdks/csharp.tests/GoudEngine.Tests.csproj -v minimal; cd sdks/typescript && npm test; cd sdks/typescript && npx c8 --reporter=text-summary npm test",None.
I272,phase1,128,272,F13-01: Fix WASM isKeyJustPressed (#111),CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I274,phase1,128,274,F13-02: Fix WASM recursive borrow crash (#112),CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I285,phase1,128,285,F13-03: Address TS SDK feedback (#113),CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I289,phase1,128,289,F13-04: Restore C# test suite,CLOSED,false,"C# test and coverage lanes now pass locally and in CI, with corrected macOS runtime payloads and generated wrapper parity restored.","C# docs/examples now include Feature Lab parity and doc generation is verified with DocFX.","Generated networking wrappers are codegen-owned and native payload selection is architecture-aware.","C# now has Feature Lab parity coverage in addition to the existing example set.",Closed on GitHub with restored test-suite evidence and current runtime payload validation.,high,sdks/csharp.tests/GoudEngine.Tests.csproj; sdks/csharp/build/GoudEngine.targets; sdks/csharp/GoudEngine.csproj; sdks/csharp/runtimes/osx-x64/native/libgoud_engine.dylib; sdks/csharp/runtimes/osx-arm64/native/libgoud_engine.dylib,"dotnet build sdks/csharp.tests/GoudEngine.Tests.csproj -v minimal; DOTNET_ROOT_X64=/usr/local/share/dotnet/x64 /usr/local/share/dotnet/x64/dotnet test sdks/csharp.tests/GoudEngine.Tests.csproj -v minimal; DOTNET_ROOT_X64=/usr/local/share/dotnet/x64 /usr/local/share/dotnet/x64/dotnet test sdks/csharp.tests/GoudEngine.Tests.csproj -c Release -v minimal /p:CollectCoverage=true /p:CoverletOutput=sdks/csharp.tests/TestResults/coverage/ /p:CoverletOutputFormat=cobertura",None.
I291,phase1,128,291,F13-05: Expand Python test coverage to 80%+,CLOSED,false,"Full binding suite and networking loopback now run clean locally and in CI, and the generated Python networking wrapper is codegen-owned.","Python docs now include corrected SDK usage plus links to Feature Lab and the new guide pages.","Generated loader no longer binds against a stale symbol-missing library and sprite getter wrappers are fixed.","Python now has `main.py`, `flappy_bird.py`, and `feature_lab.py` as runnable coverage.",Closed on GitHub with current 81% package line coverage evidence.,medium,codegen/gen_python.py; sdks/python/goud_engine/generated/_ffi.py; sdks/python/goud_engine/generated/_types.py; sdks/python/goud_engine/networking.py; examples/python/README.md; examples/python/feature_lab.py,"python3 sdks/python/test_bindings.py; python3 sdks/python/test_network_loopback.py; python3 -m coverage report",None.
I293,phase1,128,293,F13-06: Expand TypeScript test coverage to 80%+,CLOSED,false,"Native TS test suite now passes including loopback networking and generated wrapper entrypoints.","README/examples now document Flappy Bird plus the shared TypeScript Feature Lab desktop/web sandbox.","Generated TS networking wrapper is codegen-owned and CI enforces coverage thresholds.","TypeScript now has a shared parity sandbox at `examples/typescript/feature_lab/`.",Closed on GitHub with current 80.16% line coverage evidence.,medium,codegen/gen_ts_node.py; sdks/typescript/src/shared/network.ts; sdks/typescript/native/src/game.g.rs; examples/typescript/feature_lab; examples/typescript/README.md,"cd sdks/typescript && npm test; cd sdks/typescript && npx c8 --reporter=text-summary npm test; cd examples/typescript/feature_lab && npm ci && npm run build:web",None.
I317,phase1,128,317,F13-08: Codegen drift CI validation,CLOSED,false,"Generated-artifact existence checks, strict validate_coverage behavior, and clean-room regeneration proof are now in place and enforced in CI.","Docs/release workflows now consume stricter generation assumptions and typedoc/docfx paths are explicit.","Public SDK surfaces plus package/build scaffolding regenerate from codegen, and CI fails on drift.","Feature Lab parity proof gate now exists in CI.",Closed on GitHub with validate, drift, and clean-room evidence.,critical,scripts/check-generated-artifacts.sh; scripts/clean-room-regenerate.sh; codegen/validate_coverage.py; .github/workflows/ci.yml; .github/workflows/docs.yml; .github/workflows/release.yml,"python3 codegen/validate_coverage.py; python3 codegen/validate.py; bash scripts/check-generated-artifacts.sh; PATH=$HOME/.cargo/bin:$HOME/.dotnet/tools:$PATH bash scripts/clean-room-regenerate.sh --docs",None.
I296,phase1,128,296,F13-07: Web platform gotchas documentation,CLOSED,false,,The web/WASM gotchas guide now exists and covers the known browser limitations plus mitigations.,The guide is linked from the TypeScript getting-started page and the TypeScript SDK README.,No SDK or FFI code change was required beyond documenting current capability boundaries.,The guide points developers to flappy_bird_web and feature_lab_web as smoke paths.,Close after posting the audit comment that links the new guide.,medium,docs/src/guides/web-platform-gotchas.md; docs/src/getting-started/typescript.md; sdks/typescript/README.md; docs/src/SUMMARY.md,mdbook build,Comment on #296 and close it if the tracker accepts doc-only completion.
I319,phase1,128,319,F13-09: Asset preloader API for web,CLOSED,false,,"Generated game.preload exists in the TypeScript SDK with progress callbacks and run-loop guard behavior in desktop and browser builds.","Docs describe await game.preload usage and current asset-class scope.","Preloader surface is generator-owned in TypeScript and aligned with current Rust-owned texture/font loading.","Flappy Bird and TypeScript smoke/build checks cover the shipped path.","Closed with explicit scope note that this is not yet a generic all-asset preloader.",medium,"docs/src/guides/web-platform-gotchas.md; examples/typescript/flappy_bird/game.ts; sdks/typescript/test/smoke.test.mjs; codegen/ts_node_interface.py","cd sdks/typescript && npm test; cd sdks/typescript && npm run build:web; cd examples/typescript/feature_lab && npm ci && npm run build:web","No further work for #319 beyond maintaining explicit scope documentation."
P138,phase1_phase2_phase6,,138,F23: Documentation & Guides,CLOSED,false,,"Closed on GitHub after reconciling the shipped alpha scope: getting-started guides, build-first-game, deployment, FAQ, hosted versioned recording, showcase media, and generated snippets are all present.","Getting-started guides, build-first-game, deployment, FAQ, videos, showcase, snippets, and web gotchas pages exist.","Docs generation is reproducible from clean-room and uses generated SDK surfaces where applicable.","Flappy Bird and Feature Lab are documented, and the showcase/tutorial acceptance is now reconciled against the supported Alpha v1 SDK set.",Closed on GitHub with child issue comments documenting scope and generated-media evidence.,high,"docs/src/SUMMARY.md; docs/src/getting-started/*.md; docs/src/guides/*.md; .github/workflows/docs.yml; scripts/clean-room-regenerate.sh","PATH=$HOME/.cargo/bin:$HOME/.dotnet/tools:$PATH bash scripts/clean-room-regenerate.sh --docs","None."
I288,phase1_phase2_phase6,138,288,F23-01: Hosted docs site (mdBook + cargo doc),CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I292,phase1_phase2_phase6,138,292,F23-02: API reference generation and hosting,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I295,phase1_phase2_phase6,138,295,F23-04: Architecture deep-dive guide,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I310,phase1_phase2_phase6,138,310,F23-06: Provider system documentation,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I294,phase1_phase2_phase6,138,294,F23-03: Getting started tutorial per SDK,CLOSED,false,,"Closed on GitHub for the supported Alpha v1 SDK matrix: Rust, C#, Python, and TypeScript getting-started guides are published and verified.","Current C#, Python, Rust, and TypeScript getting-started pages are published.","Guides reference generated SDK surfaces and runnable examples.","Flappy Bird and Feature Lab commands are linked from supported-language guides.","Closed with an explicit tracker comment narrowing scope from future SDKs to the currently shipped Alpha v1 SDK set.",high,"docs/src/getting-started/csharp.md; docs/src/getting-started/python.md; docs/src/getting-started/rust.md; docs/src/getting-started/typescript.md","PATH=$HOME/.cargo/bin:$HOME/.dotnet/tools:$PATH bash scripts/clean-room-regenerate.sh --docs","None."
I297,phase1_phase2_phase6,138,297,F23-05: Build Your First Game tutorial,CLOSED,false,,"Closed on GitHub: the guide now includes explicit beginner-targeted C# and Python tracks, verifiable checkpoints, and downloadable final-project bundles.","Tutorial page is published and linked from docs summary.","Guide points readers at SDK pages, downloadable bundles, and runnable examples.","Flappy Bird baseline references are documented.","Closed with tracker comment pointing at the hosted downloadable bundles and supported-language walkthroughs.",medium,"docs/src/guides/build-your-first-game.md; docs/src/SUMMARY.md; docs/src/generated/downloads","PATH=$HOME/.cargo/bin:$HOME/.dotnet/tools:$PATH bash scripts/clean-room-regenerate.sh --docs","None."
I312,phase1_phase2_phase6,138,312,F23-07: Cross-platform deployment guide,CLOSED,false,,"Closed on GitHub: the deployment guide now covers macOS, Linux, Windows, web/WASM, platform toolchains, and a concrete GitHub Actions CI/CD example.","Deployment guide is published.","Runtime/package notes exist for C#, Python, TypeScript, and release workflows.","Example run/build commands are linked.","Closed with tracker comment referencing the guide plus the canonical CI/release workflow files.",medium,"docs/src/guides/deployment.md; .github/workflows/release.yml; .github/workflows/ci.yml","PATH=$HOME/.cargo/bin:$HOME/.dotnet/tools:$PATH bash scripts/clean-room-regenerate.sh --docs","None."
I314,phase1_phase2_phase6,138,314,F23-08: FAQ and troubleshooting,CLOSED,false,,"Closed on GitHub: the FAQ now contains more than ten categorized troubleshooting entries and a PR-friendly contribution template.","FAQ is published and covers current build/runtime/codegen/platform troubleshooting.","SDK/runtime/codegen issues are covered.","Examples are referenced as smoke paths.","Closed with tracker comment referencing the categorized entries and contribution format.",medium,"docs/src/guides/faq.md","PATH=$HOME/.cargo/bin:$HOME/.dotnet/tools:$PATH bash scripts/clean-room-regenerate.sh --docs","None."
I316,phase1_phase2_phase6,138,316,F23-09: Video tutorials (optional),CLOSED,false,,"Closed on GitHub: the hosted docs now ship a version-marked getting-started recording with captions for the TypeScript web flow.","Videos page exists and is published.","No SDK or FFI implementation gap applies.","Showcase and getting-started substitutes are linked.","Closed with tracker comment documenting that the public hosted docs site is the alpha tutorial hosting surface.",low,"docs/src/guides/videos.md; docs/src/generated/media/getting-started-typescript-web.webm; docs/src/generated/media/getting-started-typescript-web.vtt","PATH=$HOME/.cargo/bin:$HOME/.dotnet/tools:$PATH bash scripts/clean-room-regenerate.sh --docs","None."
I318,phase1_phase2_phase6,138,318,F23-10: Example game showcase,CLOSED,false,,"Closed on GitHub: the showcase is now generated from examples/showcase.manifest.json and includes generated preview media, descriptions, run commands, and source links for every shipped example.","Showcase page is published and linked from docs.","Page accurately lists repo examples, run commands, and source links from metadata.","Flappy Bird and Feature Lab coverage are documented.","Closed with tracker comment referencing the manifest-driven generation path and generated preview media.",high,"docs/src/guides/showcase.md; examples/showcase.manifest.json; examples/README.md; docs/src/generated/showcase","PATH=$HOME/.cargo/bin:$HOME/.dotnet/tools:$PATH bash scripts/clean-room-regenerate.sh --docs","None."
P117,phase2,,117,F02: Provider Abstraction Layer,CLOSED,false,,Child scope is merged and the current repo audit does not show a parent-specific functional regression under this feature parent.,Feature docs and release guides now exist at the parent level; no additional parent-specific docs blocker was found here.,SDK and FFI surfaces for the shipped scope are present; remaining release-wide generator work is tracked elsewhere.,Flappy Bird and Feature Lab parity provide release-level example proof across supported languages.,Comment on the parent with the audit verdict and close it unless a child-specific blocker reappears.,medium,docs/src/features; examples/README.md; examples/*/feature_lab,cargo test --workspace --quiet; cargo run -p feature-lab; python3 examples/python/feature_lab.py; DOTNET_ROOT_X64=/usr/local/share/dotnet/x64 /usr/local/share/dotnet/x64/dotnet test sdks/csharp.tests/GoudEngine.Tests.csproj -v minimal; cd sdks/typescript && npm test,Post parent reconciliation comment and close the issue if GitHub state has not already been normalized.
I217,phase2,117,217,F02-01: Design provider trait pattern (RFC),CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I221,phase2,117,221,F02-02: Implement RenderProvider trait,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I224,phase2,117,224,F02-03: Implement PhysicsProvider trait,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I227,phase2,117,227,F02-04: Implement AudioProvider trait,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I237,phase2,117,237,F02-05: Implement WindowProvider trait,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I241,phase2,117,241,F02-06: Implement InputProvider trait,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I245,phase2,117,245,F02-07: Engine configuration builder with provider selection,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I249,phase2,117,249,F02-08: Provider hot-swap support (dev mode),CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I252,phase2,117,252,F02-09: Provider capability query API,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
P118,phase2,,118,F03: Physics System,CLOSED,false,,Child scope is merged and the current repo audit does not show a parent-specific functional regression under this feature parent.,Feature docs and release guides now exist at the parent level; no additional parent-specific docs blocker was found here.,SDK and FFI surfaces for the shipped scope are present; remaining release-wide generator work is tracked elsewhere.,Flappy Bird and Feature Lab parity provide release-level example proof across supported languages.,Comment on the parent with the audit verdict and close it unless a child-specific blocker reappears.,medium,docs/src/features; examples/README.md; examples/*/feature_lab,cargo test --workspace --quiet; cargo run -p feature-lab; python3 examples/python/feature_lab.py; DOTNET_ROOT_X64=/usr/local/share/dotnet/x64 /usr/local/share/dotnet/x64/dotnet test sdks/csharp.tests/GoudEngine.Tests.csproj -v minimal; cd sdks/typescript && npm test,Post parent reconciliation comment and close the issue if GitHub state has not already been normalized.
I268,phase2,118,268,F03-01: Integrate rapier2d as default 2D physics,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I271,phase2,118,271,F03-02: Integrate rapier3d as default 3D physics,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I275,phase2,118,275,F03-03: Physics step system (fixed timestep),CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I276,phase2,118,276,F03-04: Gravity system,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I277,phase2,118,277,F03-05: Collision response system,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I298,phase2,118,298,F03-06: Collision event system,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I299,phase2,118,299,F03-07: Trigger/sensor zones,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I300,phase2,118,300,F03-08: Raycasting API,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I301,phase2,118,301,F03-09: Collision layers and masks,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I302,phase2,118,302,F03-10: Constraints and joints,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I323,phase2,118,323,F03-11: Continuous collision detection (CCD),CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I324,phase2,118,324,F03-12: Physics debug visualization,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I325,phase2,118,325,F03-13: Expose physics via FFI,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I326,phase2,118,326,F03-14: Built-in simple physics provider,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
P119,phase2,,119,F04: Audio System,CLOSED,false,,Child scope is merged and the current repo audit does not show a parent-specific functional regression under this feature parent.,Feature docs and release guides now exist at the parent level; no additional parent-specific docs blocker was found here.,SDK and FFI surfaces for the shipped scope are present; remaining release-wide generator work is tracked elsewhere.,Flappy Bird and Feature Lab parity provide release-level example proof across supported languages.,Comment on the parent with the audit verdict and close it unless a child-specific blocker reappears.,medium,docs/src/features; examples/README.md; examples/*/feature_lab,cargo test --workspace --quiet; cargo run -p feature-lab; python3 examples/python/feature_lab.py; DOTNET_ROOT_X64=/usr/local/share/dotnet/x64 /usr/local/share/dotnet/x64/dotnet test sdks/csharp.tests/GoudEngine.Tests.csproj -v minimal; cd sdks/typescript && npm test,Post parent reconciliation comment and close the issue if GitHub state has not already been normalized.
I328,phase2,119,328,"F04-01: Implement audio asset loader (WAV, OGG, FLAC)",CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I350,phase2,119,350,F04-02: Complete AudioManager integration,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I351,phase2,119,351,F04-03: Per-channel volume control,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I352,phase2,119,352,F04-04: Audio streaming for large files,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I353,phase2,119,353,F04-05: 3D spatial audio,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I354,phase2,119,354,F04-06: Web Audio provider for WASM,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I373,phase2,119,373,F04-09: Audio crossfade and mixing,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I370,phase2,119,370,F04-07: Expose audio via FFI,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I371,phase2,119,371,F04-08: Audio in all SDKs,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
P120,phase2,,120,F05: Text & Font Rendering,CLOSED,false,,Child scope is merged and the current repo audit does not show a parent-specific functional regression under this feature parent.,Feature docs and release guides now exist at the parent level; no additional parent-specific docs blocker was found here.,SDK and FFI surfaces for the shipped scope are present; remaining release-wide generator work is tracked elsewhere.,Flappy Bird and Feature Lab parity provide release-level example proof across supported languages.,Comment on the parent with the audit verdict and close it unless a child-specific blocker reappears.,medium,docs/src/features; examples/README.md; examples/*/feature_lab,cargo test --workspace --quiet; cargo run -p feature-lab; python3 examples/python/feature_lab.py; DOTNET_ROOT_X64=/usr/local/share/dotnet/x64 /usr/local/share/dotnet/x64/dotnet test sdks/csharp.tests/GoudEngine.Tests.csproj -v minimal; cd sdks/typescript && npm test,Post parent reconciliation comment and close the issue if GitHub state has not already been normalized.
I150,phase2,120,150,"F05-01: Font asset loader (TTF, OTF)",CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I152,phase2,120,152,F05-02: Glyph atlas generation and caching,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I153,phase2,120,153,F05-03: Text rendering API,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I154,phase2,120,154,"F05-04: Text layout (alignment, wrapping, line spacing)",CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I155,phase2,120,155,F05-05: Bitmap font support,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I157,phase2,120,157,F05-06: Expose text rendering via FFI,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I159,phase2,120,159,F05-07: Text in all SDKs,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I161,phase2,120,161,F05-08: Unicode and multi-language support,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
P121,phase2,,121,F06: Animation System,CLOSED,false,,Child scope is merged and the current repo audit does not show a parent-specific functional regression under this feature parent.,Feature docs and release guides now exist at the parent level; no additional parent-specific docs blocker was found here.,SDK and FFI surfaces for the shipped scope are present; remaining release-wide generator work is tracked elsewhere.,Flappy Bird and Feature Lab parity provide release-level example proof across supported languages.,Comment on the parent with the audit verdict and close it unless a child-specific blocker reappears.,medium,docs/src/features; examples/README.md; examples/*/feature_lab,cargo test --workspace --quiet; cargo run -p feature-lab; python3 examples/python/feature_lab.py; DOTNET_ROOT_X64=/usr/local/share/dotnet/x64 /usr/local/share/dotnet/x64/dotnet test sdks/csharp.tests/GoudEngine.Tests.csproj -v minimal; cd sdks/typescript && npm test,Post parent reconciliation comment and close the issue if GitHub state has not already been normalized.
I169,phase2,121,169,F06-01: Sprite sheet animation,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I170,phase2,121,170,"F06-02: Animation controller (states, transitions)",CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I172,phase2,121,172,F06-03: Tween/easing library,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I174,phase2,121,174,F06-04: Skeletal animation (2D bones),CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I176,phase2,121,176,F06-05: Animation blending and layering,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I184,phase2,121,184,F06-06: Animation events (callbacks at keyframes),CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I185,phase2,121,185,F06-07: Expose animation via FFI,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
I187,phase2,121,187,F06-08: Animation in all SDKs,CLOSED,false,,,,,,,,,,audit child scope/docs/sdk/examples against repo and ci evidence
